Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date,Daily Average
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,54.14417,57.14417,34.14417,34.14417,34.14417,34.14417,3/1/2000,36.01373522
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,53.86017,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,54.14417,57.14417,53.69617,34.14417,34.14417,34.14417,3/2/2000,37.72103957
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,35.14417,34.14417,34.14417,34.14417,34.14417,3/3/2000,34.18764826
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,55.14417,55.14417,56.34417,57.14417,57.14417,34.14417,34.14417,34.14417,34.14417,34.14417,57.14417,57.14417,57.14417,34.14417,34.14417,34.14417,3/4/2000,41.93547435
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,3/5/2000,34.14417
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,57.14417,34.14417,34.14417,34.14417,34.14417,3/6/2000,35.14417
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,60.14417,34.14417,34.14417,34.14417,34.14417,3/7/2000,35.27460478
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,60.14417,34.14417,60.14417,34.14417,34.14417,3/8/2000,36.40503957
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,57.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,60.64417,34.14417,34.14417,34.14417,34.14417,3/9/2000,36.29634391
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,61.14417,34.14417,34.14417,34.14417,34.14417,3/10/2000,35.31808304
